Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Jonas Wood Title MANUTE WITH FLAMING BALL Description Jonas Wood B,MANUTE WITH FLAMING BALL,oil and acrylic on linen,2010,76,48,193,121.9,Sotheby's New York,"Thursday, November 15, 2018",00463,"200,000 - 300,000 USD","200,000 USD"
Jonas Wood Title SMALL WILSON Description Jonas Wood B,SMALL WILSON,oil and acrylic on cardboard,2014,9.6,9.6,24.5,24.5,Sotheby's New York,"Thursday, November 15, 2018",00502,"50,000 - 70,000 USD",Bought In
Jonas Wood Title Michael and Leslie Description Michael and Lesliesigned with the artist,Michael and Leslie,oil and acrylic on canvas,2013,63.1,64,160.3,162.6,Phillips New York,"Thursday, November 15, 2018",00030,"450,000 - 550,000 USD","550,000 USD"
Jonas Wood Title Shadow Collage Description Shadow Collagesigned with the artist,Shadow Collage,"cardboard, oil and linen on canvas",2009,30,24,76.2,61,Phillips New York,"Wednesday, November 14, 2018",00321,"100,000 - 200,000 USD","200,000 USD"
Jonas Wood Title Chico Description Chicosigned with the artist,Chico,oil on linen,2008,48,48,121.9,121.9,Phillips New York,"Wednesday, November 14, 2018",00320,"300,000 - 500,000 USD",Bought In
Jonas Wood Title PINK PLANT WITH SHADOWS,PINK PLANT WITH SHADOWS #2,oil and acrylic on canvas,2014,86,70,218.4,177.8,Sotheby's Hong Kong,"Sunday, September 30, 2018",01052,"4,500,000 - 7,500,000 HKD (574,852 - 958,086 USD)","7,920,000 HKD (1,011,739 USD)"
Jonas Wood Title HUNTING WITH MOCHI Description Jonas WoodB,HUNTING WITH MOCHI,oil on canvas,2005,75,89.3,190.5,226.7,Sotheby's New York,"Tuesday, September 25, 2018",00219,"400,000 - 600,000 USD","1,035,000 USD"
Jonas Wood Title Eckersley,"Eckersley, 2010",oil painting,2010,36,24,91.4,61,Sotheby's Online,"Friday, July 20, 2018",00043,"40,000 - 60,000 USD","187,500 USD"
Jonas Wood Title Rosy,Rosy's Masks,oil on linen,2008,101.6,75,258.1,190.5,Phillips London,"Wednesday, June 27, 2018",00006,"700,000 - 900,000 GBP (919,600 - 1,182,343 USD)","1,569,000 GBP (2,061,219 USD)"
Jonas Wood Title Untitled,Untitled (Grid Pot),oil on linen,2009,24.1,20.1,61.3,51,Phillips Hong Kong,"Sunday, May 27, 2018",00035,"500,000 - 800,000 HKD (63,735 - 101,977 USD)","2,250,000 HKD (286,810 USD)"
Jonas Wood Title Maritime Hotel Pot with Aloe Description Jonas Wood,Maritime Hotel Pot with Aloe,oil and acrylic on canvas,2014,120,76,304.8,193,Christie's New York,"Friday, May 18, 2018",00850,"550,000 - 750,000 USD","2,292,500 USD"
Jonas Wood Title UNTITLED,UNTITLED (WAVE POT),oil on linen,2009,41,29.3,104.1,74.3,Sotheby's New York,"Thursday, May 17, 2018",00409,"120,000 - 180,000 USD","337,500 USD"
Jonas Wood Title Special Cactus Description Special Cactussigned and titled,Special Cactus,oil on canvas,2007,22,18,55.9,45.7,Phillips New York,"Wednesday, May 16, 2018",00316,"90,000 - 120,000 USD","237,500 USD"
Lisa Yuskavage Title Three Girls Description Lisa YuskavageThree Girlssigned,Three Girls,oil on linen,1996,10.2,8,26,20.3,Phillips New York,"Wednesday, May 15, 2024",00347,"60,000 - 80,000 USD","95,250 USD"
Lisa Yuskavage Title The Mound Description Property from a Distinguished American CollectionLisa Yuskavageb,The Mound,oil on canvas,2011,84,72,213.4,182.9,Sotheby's New York,"Monday, May 13, 2024",00017,"600,000 - 800,000 USD","666,750 USD"
Lisa Yuskavage Title D,Déjà Vu,oil on linen,2017,80,80,203.2,203.2,Sotheby's New York,"Thursday, November 16, 2023",00507,"600,000 - 800,000 USD","812,800 USD"
Lisa Yuskavage Title Sick Clown Description LISA YUSKAVAGE,Sick Clown,oil on canvas,1999,55.1,43.1,140,109.5,Christie's New York,"Friday, November 10, 2023",00380,"200,000 - 300,000 USD","441,000 USD"
Lisa Yuskavage Title Pie Face Description Lisa Yuskavage,Pie Face,oil on canvas,2007,8.7,7.9,22,20.1,Christie's Paris,"Thursday, October 19, 2023",00017,"30,000 - 50,000 EUR (31,709 - 52,848 USD)","40,320 EUR (42,617 USD)"
Lisa Yuskavage Title Tourist Description Property from the Collection of Donna and Howard StoneLisa Yuskavageb,Tourist,oil on canvas,2008,13,11,33,27.9,Sotheby's New York,"Thursday, September 28, 2023",00035,"60,000 - 80,000 USD","177,800 USD"
Lisa Yuskavage Title Associations Description LISA YUSKAVAGE,Associations,oil on canvas,1997,31,16,78.7,40.6,Christie's New York,"Friday, May 12, 2023",00248,"150,000 - 200,000 USD","126,000 USD"
Lisa Yuskavage Title The Park Description Lot,The Park,oil on linen,2007,13,11,33,27.9,Sotheby's London,"Thursday, March 2, 2023",00309,"50,000 - 70,000 GBP (59,694 - 83,572 USD)","114,300 GBP (136,461 USD)"
Lisa Yuskavage Title Northview,Northview (Impressionist Jacket),oil on linen,2000,70.1,40.5,178.1,102.9,Phillips New York,"Wednesday, May 18, 2022",00005,"700,000 - 1,000,000 USD","1,106,900 USD"
Lisa Yuskavage Title Studio Description LISA YUSKAVAGE,Studio,oil on linen,2009,70,74.5,177.8,189.2,Christie's New York,"Tuesday, May 10, 2022",0020B,"700,000 - 1,000,000 USD","1,380,000 USD"
Lisa Yuskavage Title Wee Smiley Description Lisa Yuskavageb,Wee Smiley,oil on canvas board,2003,11.7,9.8,29.8,25,Sotheby's New York,"Thursday, December 16, 2021",00001,"30,000 - 40,000 USD","50,400 USD"
Lisa Yuskavage Title Little Bouquet Description Lisa Yuskavageb,Little Bouquet,oil on panel,2001,10.5,8.5,26.7,21.6,Sotheby's New York,"Thursday, December 16, 2021",00008,"30,000 - 40,000 USD","81,900 USD"
Lisa Yuskavage Title Wee Babie I Description Lisa Yuskavageb,Wee Babie I,oil on panel,2003,7,5,17.8,12.7,Sotheby's New York,"Thursday, December 16, 2021",00012,"25,000 - 35,000 USD","52,920 USD"
Lisa Yuskavage Title Kathy Description The Collection of Douglas S,Kathy,oil on linen,2002,20.5,21,52.1,53.3,Sotheby's New York,"Friday, November 19, 2021",00243,"120,000 - 180,000 USD","327,600 USD"
Lisa Yuskavage Title Centaur Description Lisa Yuskavageb,Centaur,oil and wax on canvas,1990,13.8,13.6,35,34.6,Sotheby's New York,"Thursday, September 30, 2021",00261,"20,000 - 30,000 USD","17,640 USD"
Lisa Yuskavage Title Heart Description Lisa Yuskavage,Heart,oil on linen,,84,72,213.4,182.9,Christie's New York,"Wednesday, October 7, 2020",00149,"350,000 - 550,000 USD","325,000 USD"
Lisa Yuskavage Title SICK CLOWN Description Works from a Prominent New York CollectionLISA YUSKAVAGEb,SICK CLOWN,oil on canvas,1999,55.1,43.1,140,109.5,Sotheby's Online,"Thursday, May 14, 2020",00016,"250,000 - 350,000 USD",Bought In
Lisa Yuskavage Title BITING THE SMALL RED THING Description signed with the artist,BITING THE SMALL RED THING,oil on canvas,2005,5,7,12.7,17.8,Sotheby's New York,"Friday, March 6, 2020",00203,"20,000 - 30,000 USD","72,500 USD"
Lisa Yuskavage Title BIG BLONDE WITH TEACUP Description signed,BIG BLONDE WITH TEACUP,oil on canvas,1994,64,50,162.6,127,Sotheby's New York,"Friday, March 6, 2020",00232,"200,000 - 300,000 USD","450,000 USD"
Lisa Yuskavage Title PIGGYBACK Description signed and dated,PIGGYBACK,oil on canvas,2006,38,32,96.5,81.3,Sotheby's New York,"Friday, November 15, 2019",00422,"200,000 - 300,000 USD","524,000 USD"
Lisa Yuskavage Title THE CONVERSATION Description LISA YUSKAVAGEb,THE CONVERSATION,oil on wood,1985,14,14,35.5,35.5,Sotheby's Online,"Thursday, July 18, 2019",00140,"20,000 - 30,000 USD","20,000 USD"
Lisa Yuskavage Title One,"One, Two, Three",Oil on canvas board,1999,12,9,30.5,22.9,Los Angeles Modern Auctions,"Sunday, September 30, 2018",00338,"10,000 - 15,000 USD","50,000 USD"
Lisa Yuskavage Title Bridesmaid Description Bridesmaidsigned and dated,Bridesmaid,oil on linen,2004,30,34,76.2,86.4,Phillips New York,"Wednesday, September 26, 2018",00043,"80,000 - 120,000 USD","175,000 USD"
Lisa Yuskavage Title KK,KK (PORTRAIT OF KATHY KENNEDY),oil on canvasboard,1998,9.5,7.1,24.1,18.1,Sotheby's New York,"Tuesday, September 25, 2018",00293,"20,000 - 30,000 USD","22,500 USD"
Lisa Yuskavage Title OH Description Lisa YuskavageB,OH,,,,,,,,,,,
on the reverseoil Medium oil on canvas Year of Work,,oil on canvas,1995,9.1,8,23,20.3,Sotheby's New York,"Tuesday, September 25, 2018",00294,"20,000 - 30,000 USD","43,750 USD"
Lisa Yuskavage Title Untitled,Untitled: two prints,monotypes,1990,17.1,11.5,43.5,29.2,Sotheby's Online,"Thursday, July 19, 2018",00074,"1,000 - 1,500 USD",250 USD
Lisa Yuskavage Title G,G. WITH FLOWERS,oil on canvas,2003,20.5,21,52.1,53.3,Sotheby's New York,"Friday, March 2, 2018",00249,"60,000 - 80,000 USD","75,000 USD"
Lisa Yuskavage Title ELIZABETH Description signedgraphite on mylar over pink cardboard,ELIZABETH,graphite,1999,11,7.8,27.9,19.7,Sotheby's New York,"Friday, November 17, 2017",00154,"8,000 - 12,000 USD","27,500 USD"
Lisa Yuskavage Title KATHY ON A PEDESTAL Description signed,KATHY ON A PEDESTAL,graphite on paper,2007,14,11,35.6,27.9,Sotheby's New York,"Friday, November 17, 2017",00153,"8,000 - 12,000 USD","22,500 USD"
Lisa Yuskavage Title BIG SHRINK Description signed with the artist,BIG SHRINK,pastel on paper,1987,9.9,7.8,25.1,19.7,Sotheby's New York,"Friday, November 17, 2017",00137,"15,000 - 20,000 USD","23,750 USD"
Lisa Yuskavage Title Untitled Description Untitled,Untitled,Monoprint (framed),1989,14.5,17.5,36.8,44.4,Rago Auctions,"Saturday, November 11, 2017",00675,"1,000 - 1,500 USD","1,000 USD"
Lisa Yuskavage Title Rubble Description Rubblesigned,Rubble,oil on linen,2007,60,48,152.4,121.9,Phillips New York,"Wednesday, May 17, 2017",00142,"250,000 - 350,000 USD","286,000 USD"
Lisa Yuskavage Title KK,KK (PORTRAIT OF KATHY KENNEDY),oil on canvasboard,1998,9.5,7.1,24.1,18.1,Sotheby's New York,"Thursday, March 2, 2017",00036,"40,000 - 60,000 USD",Bought In
Lisa Yuskavage Title Truly Yours Description LISA YUSKAVAGETruly Yours,Truly Yours,oil on linen,1990,20,17.9,50.8,45.5,Swann Galleries,"Thursday, May 12, 2016",00323,"7,000 - 10,000 USD",Bought In
Lisa Yuskavage Title Suspect Description Canvas,Suspect,Oil on linen,1989,17.5,13.5,44.4,34.3,Los Angeles Modern Auctions,"Sunday, October 11, 2015",00459,"10,000 - 15,000 USD","3,750 USD"
Lisa Yuskavage Title Study for Rorschach Blot Description Lisa Yuskavage,Study for Rorschach Blot,oil on paper,1995,12.4,10.2,31.4,26,Christie's New York,"Wednesday, September 30, 2015",00287,"8,000 - 12,000 USD","10,000 USD"
Lisa Yuskavage Title Scout Description Scout,Scout,oil on linen,2012,77,60,195.6,152.4,Phillips New York,"Friday, May 15, 2015",00212,"300,000 - 400,000 USD","329,000 USD"
Lisa Yuskavage Title Truly Yours Description LISA YUSKAVAGETruly Yours,Truly Yours,Oil on linen on panel,1990,20,17.9,50.8,45.5,Swann Galleries,"Tuesday, May 12, 2015",00302,"10,000 - 15,000 USD",Bought In
Lisa Yuskavage Title Dear Princess Description LISA YUSKAVAGEDear Princess,Dear Princess,Oil on panel,1990,6,10,15.3,25.4,Swann Galleries,"Tuesday, May 12, 2015",00301,"2,000 - 3,000 USD","4,750 USD"
Lisa Yuskavage Title Small Morning Description oil and graphite on panel,Small Morning,oil and graphite on panel,2005,7.8,9.8,19.7,24.8,Christie's New York,"Tuesday, September 23, 2014",00215,"30,000 - 40,000 USD","35,000 USD"
Lisa Yuskavage Title Dusk Description signed and dated,Dusk,oil on linen,2012,77,60,195.6,152.4,Sotheby's New York,"Thursday, May 15, 2014",00531,"350,000 - 450,000 USD","341,000 USD"
Lisa Yuskavage Title Elizabeth on a Pedestal Description oil on cardboardSigned,Elizabeth on a Pedestal,oil on cardboard,2000,9,7.8,22.9,19.7,Phillips New York,"Friday, March 7, 2014",00152,"30,000 - 40,000 USD","30,000 USD"
Lisa Yuskavage Title Cheating Description oil on linenSigned and dated,Cheating,oil on linen,2006,13,11,33,27.9,Phillips New York,"Friday, March 7, 2014",00153,"40,000 - 60,000 USD","43,750 USD"
Lisa Yuskavage Title Study for Rorschach Blot Description Signed,Study for Rorschach Blot,oil on paper,1995,12.2,10.2,31.1,26,Phillips New York,"Tuesday, November 12, 2013",00296,"20,000 - 30,000 USD",Bought In
Lisa Yuskavage Title The feminist,The feminist's husband,oil on canvas,1996,42.1,47.2,107,120,Sotheby's New York,"Wednesday, September 25, 2013",00032,"250,000 - 350,000 USD",Bought In
Lisa Yuskavage Title Kathy Description Lisa Yuskavage,Kathy,oil on canvas,2002,20.5,21,52,53.3,Christie's New York,"Thursday, November 15, 2012",00414,"100,000 - 150,000 USD",Bought In
Lisa Yuskavage Title Gladiators Description Lisa Yuskavage,Gladiators,oil on canvas,2006,10,8,25.4,20.3,Christie's New York,"Thursday, November 15, 2012",00412,"50,000 - 70,000 USD",Bought In
Lisa Yuskavage Title Small Question Description signed,Small Question,oil on canvas,2000,12,9,30.4,22.8,Sotheby's New York,"Wednesday, November 14, 2012",00426,"50,000 - 70,000 USD","68,500 USD"
Lisa Yuskavage Title Hair Description signed and dated,Hair,oil on canvasboard,2002,9.7,7.9,24.7,20,Sotheby's New York,"Wednesday, November 14, 2012",00466,"40,000 - 60,000 USD","98,500 USD"
Lisa Yuskavage Title Pussywhipped Description oil on linen,Pussywhipped,oil on linen,1996,8,9.1,20.3,23.2,Phillips de Pury & Company New York,"Thursday, September 20, 2012",00063,"15,000 - 20,000 USD","47,500 USD"
Lisa Yuskavage Title The pond Description signed and dated,The pond,oil on linen,2007,12,9,30.5,22.9,Sotheby's New York,"Thursday, May 10, 2012",00417,"50,000 - 70,000 USD","53,125 USD"
Lisa Yuskavage Title Suspect Medium oil on linen Year of Work,Suspect,oil on linen,1989,16,12,40.6,30.5,Los Angeles Modern Auctions,"Sunday, May 6, 2012",00337,"30,000 - 50,000 USD",Bought In
Lisa Yuskavage Title Little curlie II Description signed on the reverseoil on canvas Medium oil on canvas Year of Work,Little curlie II,oil on canvas,2003,,,,,Sotheby's New York,"Friday, March 9, 2012",00009,"40,000 - 60,000 USD","74,500 USD"
Lisa Yuskavage Title Big blonde squatting Description signed,Big blonde squatting,oil on linen,1994,72,72,182.9,182.9,Sotheby's New York,"Thursday, November 10, 2011",00434,"450,000 - 650,000 USD",Bought In
Lisa Yuskavage Title Mine Medium wax and oil on linen Year of Work,Mine,wax and oil on linen,1990,25,25,63.5,63.5,Sotheby's New York,"Thursday, September 22, 2011",00374,"8,000 - 12,000 USD",Bought In
Lisa Yuskavage Title Northview,Northview (Impressionist jacket),oil on linen,2000,70.1,40.5,178.1,102.9,Phillips de Pury & Company New York,"Thursday, May 12, 2011",00016,"1,000,000 - 1,500,000 USD","1,082,500 USD"
Lisa Yuskavage Title Motherfucking rock Description signed with the artist,Motherfucking rock,oil on linen,1996,42,36,106.7,91.4,Sotheby's New York,"Wednesday, May 11, 2011",00423,"300,000 - 400,000 USD","338,500 USD"
Lisa Yuskavage Title Wee travellers Description Executed in,Wee travellers,oil on linen,2008,13,11,33,28,Sotheby's New York,"Wednesday, May 11, 2011",00428,"50,000 - 70,000 USD","92,500 USD"
Lisa Yuskavage Title Big Marie Description signed,Big Marie,oil on linen,1993,64,50,162.6,127,Sotheby's New York,"Wednesday, May 11, 2011",00431,"300,000 - 400,000 USD","314,500 USD"
Lisa Yuskavage Title Foodeater Medium paintings,Foodeater,"paintings, oil",1996,,,,,artnet Auctions,"Thursday, February 10, 2011",41777,"40,000 - 60,000 USD","40,250 USD"
Lisa Yuskavage Title Screwing her pussy on straight Description Lisa Yuskavage,Screwing her pussy on straight,oil on canvasboard,1997,7,5,17.8,12.7,Christie's New York,"Thursday, November 11, 2010",00438,"40,000 - 60,000 USD","47,500 USD"
Lisa Yuskavage Title Grooming Medium oil on linen Year of Work,Grooming,oil on linen,2003,64.3,50,163.2,127,Sotheby's New York,"Wednesday, November 10, 2010",00345,"400,000 - 600,000 USD","722,500 USD"
Lisa Yuskavage Title Untitled,"Untitled, Kasha",oil on canvas,2005,12.1,10,30.7,25.4,Christie's New York,"Wednesday, September 22, 2010",00018,"60,000 - 80,000 USD","68,500 USD"
Lisa Yuskavage Title KK in red room Description LISA YUSKAVAGEKK in Red Room,KK in red room,oil on linen,2000,20,18,50.8,45.7,Phillips de Pury & Company New York,"Thursday, May 13, 2010",00111,"150,000 - 250,000 USD","230,500 USD"
Lisa Yuskavage Title Mine Description signed,Mine,wax and oil on linen,1990,25,25,63.5,63.5,Sotheby's New York,"Tuesday, March 9, 2010",00005,"18,000 - 25,000 USD",Bought In
Lisa Yuskavage Title Wee babie II Description Lisa Yuskavage,Wee babie II,oil on canvasboard,2003,7.7,5.9,19.6,14.9,Christie's New York,"Wednesday, November 11, 2009",00310,"40,000 - 60,000 USD","40,000 USD"
Lisa Yuskavage Title Baby KK Description Lisa Yuskavage,Baby KK,oil on canvas,2002,5,3,12.7,7.6,Christie's New York,"Wednesday, November 11, 2009",00311,"35,000 - 45,000 USD",Bought In
Lisa Yuskavage Title Smoking Description Lisa Yuskavage,Smoking,oil,1994,11.5,10.2,29.2,26,Christie's New York,"Thursday, May 14, 2009",00425,"20,000 - 30,000 USD","40,000 USD"
Lisa Yuskavage Title Bad habits Description Lisa Yuskavage,Bad habits,oil on linen,1996,84,72,213.4,182.9,Christie's New York,"Wednesday, May 13, 2009",00045,"450,000 - 650,000 USD","482,500 USD"
Lisa Yuskavage Title Cold blonde,Cold blonde - Or the honeymoon,oil on canvasboard,1998,6.9,4.8,17.5,12.1,Phillips de Pury & Company New York,"Friday, November 14, 2008",00132,"60,000 - 80,000 USD","50,000 USD"
Lisa Yuskavage Title Foodeater Description signed and dated,Foodeater,oil on canvasboard,1996,8,6,20.3,15.2,Sotheby's New York,"Wednesday, November 12, 2008",00492,"60,000 - 80,000 USD",Bought In
Lisa Yuskavage Title Dark garden II Medium oil on canvas Year of Work,Dark garden II,oil on canvas,2003,48,58.1,122,147.5,Phillips de Pury & Company London,"Saturday, October 18, 2008",00328,"250,000 - 350,000 GBP (432,451 - 605,431 USD)",Bought In
Lisa Yuskavage Title Still life Description oil on canvasExecuted in,Still life,oil on canvas,1996,84.3,108.1,214,274.5,Sotheby's London,"Wednesday, July 2, 2008",00329,"120,000 - 150,000 GBP (239,282 - 299,102 USD)",Bought In
Lisa Yuskavage Title Wee green girl Description LISA YUSKAVAGEWee Green Girl,Wee green girl,oil on paper,1994,5.2,5.2,13.3,13.3,Phillips de Pury & Company New York,"Friday, May 16, 2008",00217,"40,000 - 60,000 USD",Bought In
Lisa Yuskavage Title The gifts Description signed,The gifts,oil on linen,1990,30,26,76.2,66,Sotheby's New York,"Thursday, May 15, 2008",00544,"280,000 - 350,000 USD","301,000 USD"
Lisa Yuskavage Title Centaur Medium oil on canvas Year of Work,Centaur,oil on canvas,1990,13.8,13.8,35,35,Bonhams & Butterfields,"Monday, November 19, 2007",01128,"15,000 - 25,000 USD","12,000 USD"
Lisa Yuskavage Title Big blonde smoking Medium oil on linen Year of Work,Big blonde smoking,oil on linen,1994,72,72,182.9,182.9,Sotheby's New York,"Thursday, November 15, 2007",00418,"600,000 - 800,000 USD","713,000 USD"
Lisa Yuskavage Title Lupe,Lupe & Lola II,oil on canvas,2003,20,18,50.8,45.7,Sotheby's London,"Friday, October 12, 2007",00058,"150,000 - 200,000 GBP (305,561 - 407,414 USD)",Bought In
Lisa Yuskavage Title Dark garden II Medium oil on canvas Year of Work,Dark garden II,oil on canvas,2003,48,58.1,122,147.5,Christie's London,"Wednesday, June 20, 2007",00096,"300,000 - 400,000 GBP (594,648 - 792,864 USD)",Bought In
Lisa Yuskavage Title Centaur Medium oil on canvas Year of Work,Centaur,oil on canvas,1990,13.8,13.8,35,35,Bonhams & Butterfields,"Tuesday, May 22, 2007",00150,"30,000 - 40,000 USD",Bought In
Lisa Yuskavage Title Mental hygiene in green Medium oil on canvasboard Year of Work,Mental hygiene in green,oil on canvasboard,1997,7,5,17.8,12.7,Phillips de Pury & Company New York,"Friday, May 18, 2007",00115,"50,000 - 70,000 USD","60,000 USD"
Lisa Yuskavage Title Little redheaded boy Medium oil on canvasboard Year of Work,Little redheaded boy,oil on canvasboard,1991,9.8,7.8,24.8,19.7,Christie's New York,"Thursday, May 17, 2007",00304,"35,000 - 45,000 USD","102,000 USD"
Lisa Yuskavage Title The ones that don,The ones that don't want to - Kelly Marie,oil on canvas,1992,34,30,86.4,76.2,Christie's New York,"Thursday, May 17, 2007",00436,"250,000 - 350,000 USD","312,000 USD"
Lisa Yuskavage Title True blonde IV,True blonde IV - at home,oil on canvas,1999,66.1,72,168,182.9,Christie's New York,"Wednesday, May 16, 2007",00062,"500,000 - 700,000 USD",Bought In
Lisa Yuskavage Title,(The one's that) don't want to: Bad baby II,oil on canvas,,34.1,30,86.7,76.2,Sotheby's New York,"Wednesday, May 16, 2007",00481,"300,000 - 350,000 USD","360,000 USD"
Lisa Yuskavage Title Night Medium oil on canvas Year of Work,Night,oil on canvas,1999,77,62,195.6,157.5,Christie's New York,"Wednesday, May 16, 2007",00005,"800,000 - 1,200,000 USD","1,384,000 USD"
Lisa Yuskavage Title The bad Laura Medium oil on linen Year of Work,The bad Laura,oil on linen,1997,52,52,132.1,132.1,Christie's New York,"Thursday, November 16, 2006",00333,"300,000 - 400,000 USD","576,000 USD"
Lisa Yuskavage Title Associations Medium oil on canvas Year of Work,Associations,oil on canvas,1997,31,16,78.7,40.7,Christie's New York,"Thursday, November 16, 2006",00336,"140,000 - 180,000 USD","198,000 USD"
Lisa Yuskavage Title E posing on a cube Medium oil on board Year of Work,E posing on a cube,oil on board,2002,7,5,17.8,12.7,Christie's New York,"Thursday, November 16, 2006",00338,"80,000 - 120,000 USD",Bought In
Lisa Yuskavage Title Couch Medium oil on linen Year of Work,Couch,oil on linen,2003,60,62,152.5,157.6,Christie's New York,"Wednesday, November 15, 2006",00003,"700,000 - 900,000 USD","912,000 USD"
Lisa Yuskavage Title Conversation Medium oil on canvas Year of Work,Conversation,oil on canvas,1994,61.5,50,156.3,127,Sotheby's New York,"Tuesday, November 14, 2006",00074,"650,000 - 850,000 USD","520,000 USD"
Lisa Yuskavage Title Rorschach blot Medium oil on linen Year of Work,Rorschach blot,oil on linen,1995,84,72,213.4,182.9,Christie's London,"Sunday, October 15, 2006",00031,"150,000 - 200,000 GBP (278,241 - 370,988 USD)","198,400 GBP (368,020 USD)"
Lisa Yuskavage Title Blue,Blue (Sexy) painting,oil on masonite,,13.2,10.2,33.6,26,Christie's New York,"Wednesday, September 13, 2006",00090,"12,000 - 15,000 USD",Bought In
Lisa Yuskavage Title Little Curlie II Medium oil on canvas Year of Work,Little Curlie II,oil on canvas,2003,11,9,28,22.9,Phillips de Pury & Company New York,"Friday, May 12, 2006",00101,"10,000 - 15,000 USD","54,000 USD"
Lisa Yuskavage Title Honeymoon Medium oil on canvas Year of Work,Honeymoon,oil on canvas,1998,77.5,55,196.8,139.7,Sotheby's New York,"Wednesday, May 10, 2006",00004,"500,000 - 700,000 USD","1,024,000 USD"
Lisa Yuskavage Title Lime baby Medium oil on linen Year of Work,Lime baby,oil on linen,1991,30,26,76.2,66,Christie's New York,"Wednesday, May 10, 2006",00472,"50,000 - 70,000 USD","108,000 USD"
Lisa Yuskavage Title Ever yours Medium oil on panel Year of Work,Ever yours,oil on panel,1990,15.7,11.9,40,30.2,Christie's New York,"Thursday, March 16, 2006",00035,"15,000 - 20,000 USD","14,400 USD"
Lisa Yuskavage Title Still life Medium oil on linen Year of Work,Still life,oil on linen,1996,84,108,213.3,274.2,Christie's New York,"Thursday, March 16, 2006",00030,"120,000 - 180,000 USD","228,000 USD"
Lisa Yuskavage Title Importance of association Medium oil on canvas Year of Work,Importance of association,oil on canvas,1997,31.1,16.1,79.1,41,Phillips de Pury & Company New York,"Thursday, November 10, 2005",00010,"150,000 - 200,000 USD","180,000 USD"
Lisa Yuskavage Title Smacked ass,Smacked ass (The ones that shouldn't),oil on canvas,1991,30,26,76.2,66,Sotheby's New York,"Wednesday, May 11, 2005",00347,"50,000 - 70,000 USD","180,000 USD"
Lucas Arruda Title Lucas Arruda,Lucas Arruda 盧卡斯 · 阿魯達 | Untitled (from the,oil on canvas,2013,19.7,19.7,50,50,Sotheby's Singapore,"Saturday, January 18, 2025",00614,"200,000 - 500,000 SGD (146,177 - 365,443 USD)",
Lucas Arruda Title Untitled,Untitled 14,oil on canvas,2011,19.7,15.7,50,40,Shapiro Auctioneers,"Monday, November 25, 2024",00152,"120,000 - 180,000 AUD (77,886 - 116,830 USD)","177,959 AUD (115,505 USD)"
Lucas Arruda Title Untitled,Untitled 17,oil on canvas,2011,7.1,9.4,18,24,Shapiro Auctioneers,"Monday, November 25, 2024",00153,"80,000 - 120,000 AUD","78,547 AUD (50,981 USD)"
Lucas Arruda Title Untitled,Untitled 10,oil on canvas,2010,9.4,11.8,24,30,Shapiro Auctioneers,"Monday, November 25, 2024",00151,"80,000 - 120,000 AUD (51,924 - 77,886 USD)","88,366 AUD (57,354 USD)"
Lucas Arruda Title Untitled,Untitled 5,oil on canvas,2011,11.8,15.7,30,40,Shapiro Auctioneers,"Monday, November 25, 2024",00154,"100,000 - 150,000 AUD (64,905 - 97,358 USD)","116,594 AUD (75,675 USD)"
Lucas Arruda Title Untitled Description DETAILSLUCAS ARRUDA,Untitled,oil on canvas,2011,27.6,35.4,70,90,Christie's New York,"Friday, November 22, 2024",00914,"80,000 - 120,000 USD",Bought In
Lucas Arruda Title Sem Titulo Description DETAILSLUCAS ARRUDA,Sem Titulo,oil on canvas,2011,27.6,35.4,70,90,Christie's New York,"Tuesday, October 1, 2024",00443,"100,000 - 120,000 USD",Withdrawn
Lucas Arruda Title Untitled Description oil on linen,Untitled,oil on linen,2014,39.4,39.5,100,100.3,Fair Warning,"Thursday, May 16, 2024",00001,"500,000 - 700,000 USD","796,500 USD"
Lucas Arruda Title Untitled XXII Description Lucas Arrudab,Untitled XXII,oil on canvas,2011,7.1,9.4,18.1,24,Sotheby's New York,"Tuesday, May 14, 2024",00576,"60,000 - 80,000 USD","127,000 USD"
Lucas Arruda Title Untitled Description LUCAS ARRUDA,Untitled,oil on canvas,2012,11.7,15.7,29.8,40,Christie's New York,"Wednesday, March 13, 2024",00327,"100,000 - 150,000 USD","138,600 USD"
Lucas Arruda Title i,i. Duomo; ii. Sem titulo (série Chiesa) [Two,oil and wax on canvas,2010,11.8,15.7,30,40,Sotheby's New York,"Thursday, November 16, 2023",00553,"100,000 - 150,000 USD","114,300 USD"
Lucas Arruda Title Untitled Description Lucas Arrudab,Untitled,oil on canvas,2010,15.6,19.7,39.7,50,Sotheby's New York,"Thursday, September 28, 2023",00238,"60,000 - 80,000 USD","88,900 USD"
Lucas Arruda Title Untitled,Untitled 無題,oil on canvas,2010,15.7,19.7,40,50,Sotheby's Hong Kong,"Thursday, July 27, 2023",00119,"550,000 - 750,000 HKD (70,492 - 96,125 USD)",Bought In
Lucas Arruda Title,⽆题,oil on canvas,2017,9.6,11.8,24.5,30,"China Guardian Auctions Co., Ltd.","Tuesday, June 13, 2023",01753,"1,500,000 - 2,000,000 CNY (209,546 - 279,395 USD)","1,840,000 CNY (257,044 USD)"
