Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Hernan Bas Title,⽆题,mixed media on canvas,2006,12.2,9.1,31,23,"China Guardian Auctions Co., Ltd.","Sunday, November 28, 2021",02035,"150,000 - 250,000 CNY (23,463 - 39,105 USD)",Bought In
Hernan Bas Title Night Flight or Midnight Migration,"Night Flight or Midnight Migration, or My Merry",acrylic on canvas,2008,60,72,152.4,182.9,Sotheby's New York,"Thursday, November 18, 2021",00008,"150,000 - 200,000 USD","746,000 USD"
Hernan Bas Title To Make a Pond Reflect Twice Description HERNAN BAS,To Make a Pond Reflect Twice,acrylic and ink on canvas mounted on panel,2010,35,28.1,88.9,71.4,Christie's New York,"Friday, November 12, 2021",00312,"100,000 - 150,000 USD","300,000 USD"
Hernan Bas Title Untitled Description Property of a Los Angeles CollectorHernan Basb,Untitled,oil on wood panel,2004,31.3,23.7,79.4,60.3,Sotheby's New York,"Thursday, September 30, 2021",00201,"60,000 - 80,000 USD","151,200 USD"
Hernan Bas Title In the future,"In the future, crystals will mean everything",oil on canvas,2006,20,16,50.8,40.6,Sotheby's New York,"Thursday, September 30, 2021",00211,"40,000 - 60,000 USD","75,600 USD"
Hernan Bas Title The Unlikely Winner Description Work informationsigned and dated on the lower rightsigned,The Unlikely Winner,acrylic on linen,2015,72,60,182.9,152.4,K Auction,"Friday, July 23, 2021",00068,,"220,000,000 KRW (190,673 USD)"
Hernan Bas Title The Harlequin,"The Harlequin, Stage Fright","acrylic, oil and gouache on panel",2006,12,10,30.5,25.4,Christie's Online,"Wednesday, July 21, 2021",00002,"20,000 - 30,000 USD","60,000 USD"
Hernan Bas Title Ceremony,Ceremony (A. Crowley Sect),acrylic on linen,2007,12,8.9,30.4,22.5,Phillips London,"Tuesday, July 13, 2021",00040,"8,000 - 12,000 GBP (11,077 - 16,615 USD)","18,900 GBP (26,170 USD)"
Hernan Bas Title Rising tombs Description,Rising tombs,mixed media and oil on panel,2006,11.8,9.8,30,25,Dorotheum,"Thursday, June 24, 2021",00457,"10,000 - 15,000 EUR (11,927 - 17,891 USD)","12,800 EUR (15,267 USD)"
Hernan Bas Title A Rising Fever Description signed with the artist,A Rising Fever,acrylic on linen,2015,50,40,127,101.6,Phillips in Association with Poly Auction,"Monday, June 7, 2021",00111,"500,000 - 700,000 HKD (64,439 - 90,215 USD)","2,142,000 HKD (276,059 USD)"
Hernan Bas Title Downhill at Dusk,Downhill at Dusk (The Runaway),acrylic on linen,2008,40,30.1,101.6,76.5,Phillips New York,"Wednesday, March 3, 2021",00022,"70,000 - 100,000 USD","352,800 USD"
Hernan Bas Title Hope Description Oil,Hope,"Oil, graphite, and photographic collage on board",2004,31,23,78.7,58.4,artnet Auctions,"Tuesday, December 22, 2020",132696,"12,000 - 18,000 USD","19,200 USD"
Hernan Bas Title How Charming Description signed with the artist,How Charming,"acrylic, gouache and water-based oil on paper",2004,31.9,24,81.1,61,Phillips London,"Tuesday, December 15, 2020",00007,"15,000 - 20,000 GBP (20,150 - 26,867 USD)","32,760 GBP (44,008 USD)"
Hernan Bas Title Don,Don't Tell It To The Mountain,acrylic on canvas mounted to panel,2009,84,72,213.4,182.9,Phillips New York,"Tuesday, December 8, 2020",00425,"90,000 - 120,000 USD","214,200 USD"
Hernan Bas Title Saint Disappearing Without Witness Description HERNAN BAS,Saint Disappearing Without Witness,mixed media on linen,2007,20.1,15.9,51,40.5,Christie's Hong Kong,"Thursday, December 3, 2020",00497,"90,000 - 120,000 HKD (11,610 - 15,481 USD)","250,000 HKD (32,252 USD)"
Hernan Bas Title Two Fruits Description signed with the artist,Two Fruits,acrylic on linen,2015,60.1,48.2,152.7,122.5,Phillips London,"Tuesday, October 20, 2020",00005,"60,000 - 80,000 GBP (77,700 - 103,600 USD)","163,800 GBP"
Hernan Bas Title UNTITLED Description Works from A Prominent New York CollectionHERNAN BASb,UNTITLED,mixed media on paper,2005,30.2,22.8,76.8,57.8,Sotheby's New York,"Tuesday, October 6, 2020",00539,"12,000 - 18,000 USD","16,380 USD"
Hernan Bas Title Untitled,Untitled (2 Mermen),oil on board,2007,24,20.1,61,51,Wright,"Wednesday, September 30, 2020",00105,"30,000 - 50,000 USD","50,000 USD"
Hernan Bas Title The New Witch Description signed with the artist,The New Witch,mixed media on linen,2006,12,9,30.5,22.9,Phillips New York,"Wednesday, September 30, 2020",00092,"10,000 - 15,000 USD","27,500 USD"
Hernan Bas Title Barth,Barthélemy Enfantin (the Monks of Menilmontant),mixed media on linen,2007,20,16,50.8,40.6,Phillips New York,"Wednesday, September 30, 2020",00091,"15,000 - 20,000 USD","40,000 USD"
Hernan Bas Title,林中之林,mixed and acrylic on paper,2010,60.2,51.2,153,130,Ravenel,"Sunday, July 19, 2020",00071,,"1,800,000 TWD (61,010 USD)"
Hernan Bas Title The Lost and Soon Forgotten Explorers Description signed with the artist,The Lost and Soon Forgotten Explorers,oil on canvas,2006,12,9.1,30.5,23,Phillips London,"Wednesday, July 15, 2020",00007,"10,000 - 15,000 GBP (12,586 - 18,879 USD)","15,000 GBP (18,879 USD)"
Hernan Bas Title He Went in the Woods that Day to Bury Fluffy Description HERNAN BAS,He Went in the Woods that Day to Bury Fluffy,mixed media on canvas laid on panel,2008,40,30,101.6,76.2,Christie's Hong Kong,"Saturday, July 11, 2020",00288,"500,000 - 800,000 HKD (64,498 - 103,197 USD)","900,000 HKD (116,097 USD)"
Hernan Bas Title Three works,Three works: (i) You and me; (ii) Untitled (Dock);,water-based oil on vellum,2001,14,11,35.6,28,Phillips London,"Thursday, April 23, 2020",00012,"15,000 - 20,000 GBP (18,545 - 24,727 USD)","15,000 GBP (18,545 USD)"
Hernan Bas Title The Bringer of Bad News Description,The Bringer of Bad News,mixed media on board,2004,31.1,24,79,61,K Auction,"Wednesday, March 25, 2020",00084,,Bought In
Hernan Bas Title July,July 4th 1876 (On the Shore),"acrylic, oil and gouache on linen mounted on",2007,20,16,50.8,40.6,Christie's New York,"Thursday, March 5, 2020",00309,"40,000 - 60,000 USD","25,000 USD"
Hernan Bas Title The variety theatre Description signed with the artist,The variety theatre,acrylic on linen,2009,12,9,30.5,22.9,Phillips New York,"Wednesday, March 4, 2020",00010,"6,000 - 8,000 USD","10,625 USD"
Hernan Bas Title Cannibalistic,"Cannibalistic, noisy and abusive, but picturesque","oil, paper collage and enamel on canvas",2011,72.1,60,183.1,152.5,Phillips London,"Friday, February 14, 2020",00108,"40,000 - 60,000 GBP (52,137 - 78,206 USD)","237,500 GBP (309,567 USD)"
Hernan Bas Title Wash Up,Wash Up (cave of enlightenment),oil on canvas laid on panel,2009,60,72,152.5,183,Phillips London,"Thursday, December 12, 2019",00027,"30,000 - 50,000 GBP (39,390 - 65,651 USD)","93,750 GBP (123,096 USD)"
Hernan Bas Title Fields Far Flung Description Hernan Bas,Fields Far Flung,acrylic on linen on panel,2008,27,30,68.6,76.2,Phillips New York,"Wednesday, November 13, 2019",00515,"25,000 - 35,000 USD","27,500 USD"
Hernan Bas Title Untitled Description Hernan Bas Untitled signed with the artist,Untitled,mixed media on vellum,2003,14,11,35.6,27.9,Phillips New York,"Tuesday, September 24, 2019",00164,"5,000 - 7,000 USD","18,750 USD"
